picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 115200
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
<Taking data v0.2>
Set point, initial error, Kp, Ki, Kd, steady state error, steady state value, overshoot, time rise, time settle
400.00, 400.00, 8.87, 0.99, 29.43, 0.02, 400.02, 1.37, 0.00 ,0.22
400.00, 400.00, 10.07, 1.17, 32.21, 0.51, 400.51, 3.35, 0.00 ,0.15
400.00, 320.50, 11.87, 1.40, 37.06, 0.29, 399.71, 1.77, 0.00 ,0.17
400.00, 284.29, 11.35, 1.36, 34.95, 0.79, 399.21, 1.75, 0.00 ,0.17
400.00, 249.51, 11.00, 1.34, 33.39, 0.28, 400.28, 0.93, 0.00 ,0.18
400.00, 215.36, 10.61, 1.25, 33.46, 0.09, 400.09, 1.67, 0.00 ,0.17
400.00, 182.39, 13.16, 1.63, 39.04, 0.01, 399.99, 1.50, 0.00 ,0.13
400.00, 144.39, 10.03, 1.18, 31.59, 0.52, 400.52, 1.13, 0.00 ,0.15
400.00, 115.02, 8.67, 1.00, 28.02, 0.40, 399.60, 1.39, 0.00 ,0.18
400.00, 81.39, 12.58, 1.55, 37.48, 0.09, 399.91, 1.09, 0.00 ,0.12
402.00, 402.00, 10.62, 1.32, 32.29, 0.18, 401.82, 1.19, 0.00 ,0.24
402.00, 402.00, 11.44, 1.37, 35.24, 0.21, 402.21, 6.06, 0.00 ,0.28
402.00, 324.31, 11.18, 1.30, 35.51, 0.07, 402.07, 1.98, 0.00 ,0.15
402.00, 285.56, 10.78, 1.27, 33.90, 0.36, 401.64, 1.41, 0.00 ,0.18
402.00, 251.61, 9.96, 1.13, 32.59, 0.09, 401.91, 0.97, 0.00 ,0.18
402.00, 217.38, 11.68, 1.39, 36.30, 0.19, 402.19, 0.83, 0.00 ,0.18
402.00, 183.26, 8.03, 0.86, 27.81, 0.06, 401.94, 1.68, 0.00 ,0.18
402.00, 146.35, 9.59, 1.08, 31.66, 0.41, 402.41, 1.07, 0.00 ,0.17
402.00, 115.40, 9.99, 1.17, 31.57, 0.33, 401.67, 1.20, 0.00 ,0.17
402.00, 81.63, 9.52, 1.08, 31.18, 0.19, 401.81, 1.21, 0.00 ,0.13
404.00, 404.00, 9.70, 1.11, 31.48, 0.08, 404.08, 1.61, 0.00 ,0.21
404.00, 404.00, 10.18, 1.21, 32.01, 0.02, 403.98, 4.07, 0.00 ,0.15
404.00, 330.41, 12.33, 1.50, 37.38, 0.11, 403.89, 1.97, 0.00 ,0.14
404.00, 285.53, 11.29, 1.31, 36.22, 0.49, 404.49, 3.19, 0.00 ,0.14
404.00, 252.83, 10.73, 1.23, 34.75, 0.06, 403.94, 1.28, 0.00 ,0.19
404.00, 218.80, 9.67, 1.06, 32.79, 0.00, 404.00, 1.28, 0.00 ,0.18
404.00, 184.30, 7.42, 0.77, 26.49, 0.32, 404.32, 0.87, 0.00 ,0.21
404.00, 147.82, 10.21, 1.18, 32.81, 0.44, 403.56, 1.16, 0.00 ,0.14
404.00, 115.95, 10.25, 1.17, 33.47, 0.06, 403.94, 1.68, 0.00 ,0.13
404.00, 80.83, 11.21, 1.27, 36.60, 0.16, 404.16, 1.26, 0.00 ,0.11
406.00, 406.00, 12.19, 1.42, 38.50, 0.43, 405.57, 1.64, 0.00 ,0.18
406.00, 406.00, 10.12, 1.19, 31.80, 0.07, 406.07, 2.48, 0.00 ,0.17
406.00, 326.92, 11.13, 1.26, 36.40, 0.21, 406.21, 2.18, 0.00 ,0.17
406.00, 288.72, 9.87, 1.12, 32.31, 0.52, 406.52, 1.39, 0.00 ,0.19
406.00, 254.48, 9.47, 1.11, 31.07, 0.41, 405.59, 1.20, 0.00 ,0.20
406.00, 220.82, 11.37, 1.33, 35.91, 0.25, 406.25, 1.20, 0.00 ,0.17
406.00, 186.56, 10.21, 1.18, 32.86, 0.03, 405.97, 1.20, 0.00 ,0.15
406.00, 151.14, 10.42, 1.20, 33.39, 0.29, 406.29, 1.16, 0.00 ,0.14
406.00, 114.52, 11.13, 1.33, 34.27, 0.03, 406.03, 1.19, 0.00 ,0.18
406.00, 84.65, 8.81, 0.95, 30.19, 0.22, 405.78, 1.24, 0.00 ,0.14
408.00, 408.00, 12.08, 1.45, 37.28, 0.37, 407.63, 1.39, 0.00 ,0.25
408.00, 408.00, 11.51, 1.36, 36.08, 0.05, 407.95, 2.29, 0.00 ,0.12
408.00, 323.17, 10.41, 1.17, 34.38, 0.16, 407.84, 2.14, 0.00 ,0.17
408.00, 289.30, 10.21, 1.16, 33.31, 0.23, 408.23, 1.38, 0.00 ,0.19
408.00, 253.36, 11.68, 1.44, 35.63, 0.22, 408.22, 1.01, 0.00 ,0.15
408.00, 220.04, 11.05, 1.25, 36.12, 0.12, 408.12, 0.94, 0.00 ,0.20
408.00, 186.07, 10.31, 1.19, 33.21, 0.30, 408.30, 0.90, 0.00 ,0.21
408.00, 153.99, 10.69, 1.31, 33.00, 0.07, 408.07, 1.10, 0.00 ,0.17
408.00, 118.14, 11.69, 1.37, 36.90, 0.14, 407.86, 1.69, 0.00 ,0.13
408.00, 80.72, 10.30, 1.14, 34.45, 0.08, 408.08, 0.98, 0.00 ,0.13
